Listing_URL,Address,Price,Bedroom,Bathroom,Sqft,Query_Zip_Code,Query_Miles,Longitude,Latitude,Query_Date
https://sfbay.craigslist.org/eby/apa/d/oakland-1459-square-foot-live-work/7695496129.html,"737 2nd St, #204, Oakland, CA 94607",3990,1,1,1459,94607,1.0,-122.283068,37.798637,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-new-chic-style-beds-bath-apt/7694476565.html,"704 Broadway, Oakland, CA 94607",2250,2,1,750,94607,1.0,-122.273605,37.799391,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-modern-style-of-living/7696505586.html,"1919 Market Street, Oakland, CA 94607",2293,2,2,891,94607,1.0,-122.280088,37.811935,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-dont-scroll-past-these-jaw/7698206437.html,"532 Union Street, Oakland, CA 94615",3615,2,1,925,94607,1.0,-122.29088,37.804095,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-affordable-housing-community/7695378484.html,"550 24th Street, Oakland, CA 94612",1050,0,1,250,94607,1.0,-122.269894,37.813829,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-family-all-together/7697885141.html,"1919 Market Street, Oakland, CA 94607",2480,4,2,840,94607,1.0,-122.27927,37.811696,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-live-easy-modera-jack-london/7695174596.html,"378 Embarcadero West, Oakland, CA 94607",1914,0,1,376,94607,1.0,-122.275322,37.79532,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-nice-and-spacious-studios-just/7695370333.html,"1445 Harrison St, Oakland, CA 94612",1036,0,1,200,94607,1.0,-122.267866,37.803876,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-one-month-free-bed-1ba-in-cozy/7692770358.html,Unknown,2246,2,1,1000,94607,1.0,-122.288494,37.807585,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-steps-to-west-oakland-bart/7689469682.html,"541 Chester St, Oakland, CA 94607",2499,3,2,1300,94607,1.0,-122.296468,37.805563,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-nice-and-cozy-studios-contact/7697777530.html,"1445 Harrison St, Oakland, CA 94612",1036,0,1,220,94607,1.0,-122.267866,37.803876,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-modern-style-of-living/7695442580.html,"1919 Market Street, Oakland, CA 94607",2293,2,2,891,94607,1.0,-122.280088,37.811935,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-welcome-home-to-modera-jack/7698128490.html,Unknown,1914,0,1,376,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-2bd-station-house-south-home/7697519663.html,Unknown,3900,2,2,1459,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-modern-style-of-living/7696481897.html,"1919 Market Street, Oakland, CA 94607",2293,2,2,891,94607,1.0,-122.279849,37.812086,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-explore-lampwork-lofts-open/7696114102.html,"1614 Campbell Street, Oakland, CA, USA, West Oakland, CA 94607",2101,0,1,625,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-modern-style-of-living/7695803567.html,"1919 Market Street, Oakland, CA 94607",2293,2,2,891,94607,1.0,-122.279828,37.812001,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-months-cash-credit-on-water/7698157376.html,"40 HARRISON, OAKLAND, CA 94607",2072,0,1,521,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-month-cash-discount-on/7697782664.html,"40 HARRISON ST, OAKLAND, CA 94607",2089,1,1,554,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-an-invitation-to-explore-open/7691862595.html,"1614 Campbell Street, Oakland, CA, USA, West Oakland, CA 94607",2276,1,1,960,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-spacious-modern-living/7698201190.html,"1919 Market Street, Oakland, CA 94607",2667,3,2,1042,94607,1.0,-122.279806,37.812069,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-one-month-free-bed-1ba-in-cozy/7687794996.html,Unknown,2246,2,1,1000,94607,1.0,-122.288494,37.807585,2023-16-12
